,Evaluacion crediticia historica,Edad,Genero,Evaluacion Sueldo,Residencia,Nivel de ahorro,Monto del credito,Duracion,Proposito,Riesgo
332,2,19 to 28,female,3,own,moderate,1554 to 3368,24 to 72,car,bad
333,4,19 to 28,female,1,rent,moderate,1554 to 3368,12 to 24,car,bad
334,0,19 to 28,male,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
335,4,28 to 38,male,3,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
336,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
337,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,domestic appliances,bad
338,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
339,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
340,4,19 to 28,female,2,free,little,250 to 1554,4 to 12,education,good
341,2,19 to 28,female,1,rent,little,250 to 1554,4 to 12,furniture/equipment,good
342,2,19 to 28,male,2,rent,quite rich,250 to 1554,4 to 12,radio/TV,good
343,2,19 to 28,male,3,own,little,250 to 1554,4 to 12,business,good
344,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
345,4,28 to 38,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
346,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
347,2,19 to 28,female,0,rent,quite rich,250 to 1554,4 to 12,radio/TV,good
348,3,19 to 28,male,1,own,moderate,250 to 1554,4 to 12,business,good
349,4,19 to 28,male,2,free,rich,250 to 1554,4 to 12,education,bad
350,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,domestic appliances,good
351,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
352,4,28 to 38,male,3,own,no account,250 to 1554,4 to 12,car,good
353,0,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,bad
354,2,28 to 38,male,2,free,quite rich,250 to 1554,4 to 12,education,good
355,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,bad
356,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
357,3,19 to 28,male,3,own,little,250 to 1554,12 to 24,radio/TV,bad
358,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
359,2,19 to 28,female,2,rent,little,250 to 1554,12 to 24,furniture/equipment,bad
360,2,38 to 75,male,2,free,no account,250 to 1554,4 to 12,education,good
361,2,19 to 28,male,3,own,no account,250 to 1554,4 to 12,radio/TV,good
362,3,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
363,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
364,2,19 to 28,male,0,own,little,250 to 1554,4 to 12,furniture/equipment,bad
365,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
366,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
367,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
368,2,28 to 38,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,bad
369,2,28 to 38,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
370,2,19 to 28,male,2,own,no account,250 to 1554,12 to 24,car,good
371,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
372,4,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
373,4,38 to 75,male,3,free,no account,3368 to 18424,24 to 72,car,good
374,1,38 to 75,female,3,free,moderate,3368 to 18424,24 to 72,vacation/others,bad
375,1,19 to 28,female,2,rent,little,1554 to 3368,12 to 24,business,bad
376,3,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
377,3,19 to 28,male,2,free,no account,250 to 1554,4 to 12,radio/TV,good
378,2,38 to 75,male,3,free,little,3368 to 18424,12 to 24,car,bad
379,4,28 to 38,female,1,own,moderate,250 to 1554,4 to 12,car,good
380,2,28 to 38,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
381,2,28 to 38,female,3,free,little,3368 to 18424,4 to 12,car,bad
382,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,car,good
383,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
384,3,19 to 28,male,1,own,moderate,250 to 1554,12 to 24,business,good
385,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
386,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,radio/TV,good
387,4,28 to 38,male,3,own,little,1554 to 3368,4 to 12,furniture/equipment,good
388,4,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,business,good
389,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,business,good
390,2,19 to 28,male,3,own,little,250 to 1554,4 to 12,car,good
391,2,19 to 28,female,1,rent,rich,250 to 1554,4 to 12,furniture/equipment,good
392,2,28 to 38,male,3,free,little,250 to 1554,12 to 24,car,good
393,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
394,4,19 to 28,male,3,own,little,250 to 1554,4 to 12,furniture/equipment,good
395,3,19 to 28,male,2,rent,moderate,1554 to 3368,12 to 24,education,good
396,2,28 to 38,female,3,free,little,250 to 1554,4 to 12,furniture/equipment,good
397,4,28 to 38,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,good
398,2,28 to 38,male,2,rent,little,250 to 1554,4 to 12,car,bad
399,4,28 to 38,female,1,own,rich,250 to 1554,4 to 12,radio/TV,good
400,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
401,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,business,good
402,3,19 to 28,male,2,own,little,1554 to 3368,4 to 12,business,bad
403,3,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
404,3,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
405,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
406,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
407,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
408,2,19 to 28,male,3,own,quite rich,250 to 1554,4 to 12,radio/TV,good
409,4,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,car,bad
410,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
411,4,19 to 28,male,3,own,little,1554 to 3368,12 to 24,car,good
412,4,28 to 38,male,3,own,little,250 to 1554,4 to 12,business,bad
413,2,28 to 38,male,1,rent,quite rich,250 to 1554,4 to 12,car,good
414,2,19 to 28,female,2,own,no account,250 to 1554,4 to 12,car,bad
415,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,car,good
416,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,bad
417,3,19 to 28,female,2,rent,no account,1554 to 3368,4 to 12,education,good
418,2,19 to 28,female,3,own,quite rich,250 to 1554,4 to 12,car,good
419,2,19 to 28,female,2,own,no account,250 to 1554,4 to 12,car,bad
420,2,19 to 28,female,2,rent,rich,250 to 1554,4 to 12,car,good
421,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,car,good
422,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
423,3,19 to 28,male,3,own,moderate,250 to 1554,4 to 12,furniture/equipment,good
424,2,19 to 28,female,2,own,no account,250 to 1554,4 to 12,furniture/equipment,bad
425,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,good
426,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
427,4,28 to 38,male,2,own,rich,250 to 1554,4 to 12,radio/TV,good
428,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
429,4,28 to 38,female,0,free,little,250 to 1554,4 to 12,repairs,bad
430,2,38 to 75,male,1,own,little,250 to 1554,4 to 12,business,good
431,2,19 to 28,male,3,own,little,1554 to 3368,4 to 12,vacation/others,bad
432,4,19 to 28,male,3,free,little,250 to 1554,4 to 12,furniture/equipment,good
433,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,repairs,good
434,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
435,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,bad
436,2,19 to 28,male,1,rent,quite rich,250 to 1554,4 to 12,repairs,good
437,4,19 to 28,female,2,own,rich,250 to 1554,4 to 12,car,good
438,4,38 to 75,male,0,own,little,250 to 1554,12 to 24,repairs,good
439,1,19 to 28,female,0,own,little,250 to 1554,4 to 12,business,bad
440,2,28 to 38,male,3,own,little,250 to 1554,4 to 12,car,good
441,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
442,3,19 to 28,male,2,own,little,250 to 1554,4 to 12,vacation/others,good
443,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,education,bad
444,4,19 to 28,female,3,own,little,250 to 1554,12 to 24,furniture/equipment,bad
445,4,28 to 38,female,1,rent,no account,250 to 1554,4 to 12,education,good
446,2,19 to 28,female,2,own,little,250 to 1554,12 to 24,car,bad
447,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
448,2,28 to 38,female,3,own,no account,250 to 1554,4 to 12,furniture/equipment,good
449,3,38 to 75,male,2,own,rich,250 to 1554,4 to 12,repairs,bad
450,4,19 to 28,male,3,own,no account,1554 to 3368,12 to 24,car,good
451,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
452,0,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
453,2,19 to 28,male,3,own,little,250 to 1554,4 to 12,car,good
454,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
455,2,19 to 28,female,3,own,little,250 to 1554,4 to 12,car,good
456,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,good
457,2,19 to 28,male,2,free,little,250 to 1554,4 to 12,car,bad
458,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,domestic appliances,good
459,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
460,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,good
461,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
462,2,19 to 28,female,3,rent,little,250 to 1554,4 to 12,furniture/equipment,good
463,2,28 to 38,male,2,own,no account,250 to 1554,4 to 12,education,good
464,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
465,2,38 to 75,male,2,own,little,250 to 1554,4 to 12,car,good
466,3,19 to 28,female,1,rent,little,250 to 1554,4 to 12,radio/TV,bad
467,3,19 to 28,male,2,own,no account,1554 to 3368,12 to 24,radio/TV,good
468,3,19 to 28,female,2,own,little,250 to 1554,12 to 24,business,good
469,3,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
470,2,19 to 28,male,2,rent,moderate,250 to 1554,4 to 12,radio/TV,bad
471,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,education,bad
472,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,bad
473,2,19 to 28,male,3,own,no account,250 to 1554,4 to 12,education,good
474,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
475,0,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
476,2,19 to 28,male,2,own,quite rich,250 to 1554,12 to 24,car,good
477,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
478,2,28 to 38,male,1,own,moderate,250 to 1554,4 to 12,business,good
479,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
480,4,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
481,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
482,2,38 to 75,female,2,rent,rich,250 to 1554,12 to 24,furniture/equipment,good
483,3,19 to 28,female,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
484,4,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,car,good
485,3,28 to 38,male,3,own,little,250 to 1554,4 to 12,car,bad
486,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
487,2,38 to 75,female,2,free,little,250 to 1554,4 to 12,car,good
488,2,19 to 28,male,1,rent,moderate,250 to 1554,4 to 12,car,good
489,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,good
490,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
491,0,28 to 38,female,3,free,little,1554 to 3368,12 to 24,business,bad
492,4,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
493,2,28 to 38,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
494,4,28 to 38,male,1,rent,little,250 to 1554,4 to 12,car,good
495,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,bad
496,2,19 to 28,male,3,rent,moderate,1554 to 3368,12 to 24,furniture/equipment,bad
497,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
498,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
499,4,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
500,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,bad
501,2,28 to 38,male,2,free,little,250 to 1554,12 to 24,car,good
502,2,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
503,4,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,bad
504,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,bad
505,2,19 to 28,male,1,own,no account,250 to 1554,4 to 12,car,bad
506,4,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,car,good
507,1,19 to 28,male,3,own,moderate,1554 to 3368,4 to 12,car,bad
508,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
509,2,28 to 38,male,3,own,moderate,1554 to 3368,12 to 24,car,good
510,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
511,2,19 to 28,male,3,free,little,250 to 1554,12 to 24,car,good
512,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,business,good
513,3,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,good
514,2,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
515,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
516,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
517,4,19 to 28,female,2,rent,little,1554 to 3368,12 to 24,furniture/equipment,bad
518,2,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,car,good
519,4,19 to 28,male,2,free,no account,250 to 1554,4 to 12,radio/TV,good
520,4,28 to 38,male,2,free,little,250 to 1554,4 to 12,repairs,good
521,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,bad
522,0,28 to 38,male,2,free,little,1554 to 3368,12 to 24,furniture/equipment,bad
523,2,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,car,good
524,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
525,2,19 to 28,male,2,own,little,1554 to 3368,4 to 12,car,good
526,4,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,education,good
527,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
528,2,19 to 28,male,2,rent,little,250 to 1554,12 to 24,radio/TV,bad
529,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
530,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,education,good
531,2,19 to 28,female,2,rent,moderate,250 to 1554,4 to 12,car,bad
532,3,28 to 38,male,2,rent,little,250 to 1554,4 to 12,car,good
533,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
534,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
535,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,education,bad
536,2,38 to 75,female,3,own,no account,250 to 1554,4 to 12,car,good
537,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
538,2,28 to 38,male,3,free,little,1554 to 3368,12 to 24,car,bad
539,2,28 to 38,female,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
540,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,bad
541,3,38 to 75,male,2,free,little,250 to 1554,4 to 12,car,good
542,2,19 to 28,male,2,own,no account,1554 to 3368,12 to 24,furniture/equipment,bad
543,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,bad
544,4,38 to 75,male,1,own,little,250 to 1554,4 to 12,car,good
545,3,28 to 38,male,2,free,little,250 to 1554,4 to 12,car,bad
546,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
547,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
548,1,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,bad
549,4,19 to 28,male,2,free,no account,1554 to 3368,12 to 24,car,good
550,4,19 to 28,female,2,own,no account,250 to 1554,4 to 12,repairs,good
551,1,28 to 38,male,1,own,quite rich,250 to 1554,4 to 12,radio/TV,good
552,2,19 to 28,male,2,own,little,1554 to 3368,12 to 24,radio/TV,bad
553,4,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
554,2,38 to 75,female,3,own,little,250 to 1554,4 to 12,education,good
555,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
556,0,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,car,bad
557,0,19 to 28,female,2,own,no account,250 to 1554,4 to 12,car,bad
558,1,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
559,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,bad
560,2,28 to 38,male,2,free,no account,250 to 1554,4 to 12,car,good
561,1,19 to 28,male,1,rent,little,250 to 1554,4 to 12,radio/TV,bad
562,3,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
563,2,19 to 28,male,2,free,no account,3368 to 18424,12 to 24,car,bad
564,3,19 to 28,male,3,own,no account,250 to 1554,4 to 12,business,good
565,3,19 to 28,female,2,rent,moderate,250 to 1554,4 to 12,radio/TV,good
566,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
567,4,19 to 28,male,2,own,rich,250 to 1554,4 to 12,radio/TV,good
568,2,28 to 38,male,2,own,no account,250 to 1554,12 to 24,radio/TV,good
569,2,19 to 28,female,2,own,little,1554 to 3368,12 to 24,radio/TV,bad
570,2,19 to 28,female,1,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
571,4,28 to 38,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
572,2,19 to 28,female,3,rent,no account,250 to 1554,4 to 12,car,good
573,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,business,good
574,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
575,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
576,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
577,4,19 to 28,female,2,own,no account,250 to 1554,4 to 12,education,good
578,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,car,bad
579,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,education,good
580,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
581,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
582,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
583,2,19 to 28,male,1,rent,little,250 to 1554,12 to 24,repairs,bad
584,2,28 to 38,female,3,free,no account,250 to 1554,4 to 12,car,good
585,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
586,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,good
587,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
588,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,domestic appliances,bad
589,4,38 to 75,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
590,4,38 to 75,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
591,3,28 to 38,female,2,rent,no account,250 to 1554,4 to 12,car,good
592,2,19 to 28,female,1,own,rich,250 to 1554,4 to 12,business,good
593,2,19 to 28,female,1,rent,little,250 to 1554,4 to 12,car,bad
594,1,28 to 38,male,3,own,no account,250 to 1554,4 to 12,vacation/others,bad
595,1,19 to 28,female,1,own,moderate,250 to 1554,4 to 12,car,bad
596,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,bad
597,0,19 to 28,male,1,own,little,250 to 1554,4 to 12,business,bad
598,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
599,3,19 to 28,male,2,free,little,250 to 1554,4 to 12,business,good
600,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
601,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
602,1,19 to 28,female,1,free,little,250 to 1554,4 to 12,education,bad
603,2,19 to 28,female,3,own,little,250 to 1554,12 to 24,furniture/equipment,bad
604,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
605,1,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,furniture/equipment,good
606,4,38 to 75,male,3,own,little,250 to 1554,4 to 12,business,good
607,2,28 to 38,female,2,free,moderate,250 to 1554,12 to 24,radio/TV,bad
608,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
609,2,28 to 38,male,2,free,no account,250 to 1554,4 to 12,car,good
610,2,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,domestic appliances,bad
611,2,28 to 38,female,1,free,moderate,250 to 1554,4 to 12,car,bad
612,2,19 to 28,female,2,own,rich,250 to 1554,4 to 12,radio/TV,good
613,1,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,good
614,3,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
615,0,28 to 38,male,3,own,no account,1554 to 3368,12 to 24,business,good
616,3,19 to 28,male,3,free,no account,1554 to 3368,24 to 72,radio/TV,good
617,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,good
618,2,19 to 28,female,2,rent,moderate,250 to 1554,12 to 24,furniture/equipment,bad
619,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
620,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
621,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
622,2,28 to 38,male,2,own,no account,250 to 1554,12 to 24,business,bad
623,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
624,2,38 to 75,male,2,free,little,250 to 1554,4 to 12,radio/TV,bad
625,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
626,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
627,1,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,bad
628,4,19 to 28,male,2,own,quite rich,250 to 1554,12 to 24,furniture/equipment,good
629,2,38 to 75,male,1,own,no account,250 to 1554,4 to 12,education,good
630,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
631,1,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
632,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
633,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
634,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,car,bad
635,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,education,good
636,2,19 to 28,female,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
637,3,19 to 28,male,2,own,little,3368 to 18424,24 to 72,radio/TV,good
638,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
639,3,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,bad
640,2,19 to 28,female,0,own,little,250 to 1554,4 to 12,education,bad
641,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,repairs,good
642,2,28 to 38,male,3,own,moderate,250 to 1554,4 to 12,education,bad
643,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
644,4,19 to 28,male,3,own,little,250 to 1554,4 to 12,radio/TV,good
645,3,19 to 28,male,2,rent,no account,1554 to 3368,12 to 24,business,bad
646,0,19 to 28,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,good
647,2,19 to 28,female,2,own,quite rich,250 to 1554,4 to 12,car,bad
648,2,28 to 38,male,2,free,little,250 to 1554,4 to 12,car,bad
649,2,28 to 38,male,1,rent,little,250 to 1554,4 to 12,education,bad
650,2,28 to 38,male,3,free,little,1554 to 3368,12 to 24,education,good
651,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,bad
652,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,bad
653,3,28 to 38,male,3,own,moderate,1554 to 3368,12 to 24,car,bad
654,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
655,2,19 to 28,male,2,free,little,250 to 1554,4 to 12,car,good
656,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,bad
657,2,19 to 28,male,2,own,no account,1554 to 3368,12 to 24,radio/TV,good
658,0,19 to 28,female,2,own,little,250 to 1554,12 to 24,business,good
659,4,28 to 38,male,2,own,little,1554 to 3368,4 to 12,furniture/equipment,good
660,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,good
661,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,car,bad
662,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
663,3,19 to 28,male,3,own,little,250 to 1554,4 to 12,furniture/equipment,good
