,Evaluacion crediticia historica,Edad,Genero,Evaluacion Sueldo,Residencia,Nivel de ahorro,Monto del credito,Duracion,Proposito,Riesgo
664,4,28 to 38,female,1,own,little,250 to 1554,4 to 12,education,good
665,4,19 to 28,male,3,own,little,1554 to 3368,4 to 12,vacation/others,good
666,1,19 to 28,male,2,own,rich,250 to 1554,12 to 24,furniture/equipment,good
667,1,19 to 28,female,2,own,little,250 to 1554,12 to 24,business,good
668,4,28 to 38,male,2,rent,little,250 to 1554,4 to 12,car,bad
669,4,28 to 38,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
670,4,19 to 28,male,1,own,moderate,250 to 1554,4 to 12,business,good
671,2,19 to 28,male,2,own,moderate,250 to 1554,12 to 24,business,good
672,2,28 to 38,male,3,own,little,1554 to 3368,24 to 72,car,good
673,4,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,car,good
674,3,28 to 38,male,1,own,quite rich,250 to 1554,4 to 12,business,bad
675,4,19 to 28,female,3,rent,little,250 to 1554,12 to 24,radio/TV,good
676,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
677,2,19 to 28,male,2,own,moderate,250 to 1554,24 to 72,radio/TV,bad
678,2,38 to 75,male,1,rent,little,250 to 1554,4 to 12,radio/TV,good
679,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
680,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,education,good
681,2,19 to 28,male,2,free,no account,250 to 1554,4 to 12,radio/TV,good
682,3,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
683,4,28 to 38,male,2,free,little,250 to 1554,4 to 12,radio/TV,good
684,3,19 to 28,male,1,own,moderate,1554 to 3368,12 to 24,business,good
685,2,19 to 28,male,2,free,no account,1554 to 3368,24 to 72,car,good
686,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
687,3,19 to 28,male,2,free,moderate,250 to 1554,12 to 24,car,good
688,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
689,2,19 to 28,male,2,own,rich,250 to 1554,4 to 12,car,good
690,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
691,2,19 to 28,female,1,own,moderate,250 to 1554,4 to 12,repairs,good
692,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
693,4,28 to 38,male,1,own,no account,250 to 1554,4 to 12,car,good
694,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
695,2,28 to 38,male,2,rent,quite rich,250 to 1554,4 to 12,car,good
696,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
697,4,28 to 38,female,0,own,little,250 to 1554,4 to 12,car,good
698,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
699,2,28 to 38,male,3,rent,little,250 to 1554,4 to 12,education,good
700,2,19 to 28,female,1,rent,quite rich,250 to 1554,4 to 12,furniture/equipment,bad
701,4,28 to 38,male,2,free,little,1554 to 3368,12 to 24,car,bad
702,2,28 to 38,female,2,free,moderate,250 to 1554,4 to 12,radio/TV,good
703,3,28 to 38,male,2,own,moderate,250 to 1554,12 to 24,business,good
704,2,19 to 28,female,2,own,little,250 to 1554,12 to 24,business,good
705,2,19 to 28,female,2,free,quite rich,250 to 1554,4 to 12,car,good
706,2,19 to 28,male,2,own,moderate,1554 to 3368,12 to 24,car,bad
707,0,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
708,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
709,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
710,4,19 to 28,male,3,own,quite rich,250 to 1554,4 to 12,radio/TV,good
711,1,19 to 28,female,2,free,little,250 to 1554,4 to 12,education,bad
712,2,28 to 38,male,3,own,no account,250 to 1554,4 to 12,car,good
713,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
714,2,19 to 28,male,3,own,little,3368 to 18424,24 to 72,car,bad
715,4,38 to 75,male,2,own,no account,1554 to 3368,12 to 24,car,good
716,4,28 to 38,male,2,own,no account,250 to 1554,12 to 24,radio/TV,good
717,2,19 to 28,male,3,free,little,250 to 1554,4 to 12,radio/TV,good
718,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
719,0,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
720,0,19 to 28,male,3,own,little,250 to 1554,4 to 12,radio/TV,bad
721,1,19 to 28,female,2,rent,rich,250 to 1554,4 to 12,education,bad
722,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,car,bad
723,2,38 to 75,female,1,own,quite rich,250 to 1554,4 to 12,radio/TV,good
724,2,19 to 28,female,2,rent,little,250 to 1554,12 to 24,car,bad
725,4,28 to 38,female,1,own,rich,250 to 1554,4 to 12,car,good
726,4,28 to 38,male,1,own,quite rich,250 to 1554,4 to 12,radio/TV,good
727,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,radio/TV,bad
728,1,38 to 75,female,2,rent,little,1554 to 3368,12 to 24,business,bad
729,4,19 to 28,male,2,own,rich,250 to 1554,4 to 12,business,good
730,3,19 to 28,male,2,own,little,1554 to 3368,4 to 12,radio/TV,good
731,2,19 to 28,male,1,rent,little,250 to 1554,4 to 12,radio/TV,bad
732,2,28 to 38,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
733,2,19 to 28,female,2,rent,rich,250 to 1554,4 to 12,car,good
734,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
735,1,19 to 28,female,0,own,no account,250 to 1554,12 to 24,domestic appliances,good
736,2,19 to 28,female,3,rent,little,1554 to 3368,4 to 12,car,bad
737,2,19 to 28,male,1,own,moderate,250 to 1554,4 to 12,car,good
738,4,28 to 38,male,3,own,little,1554 to 3368,4 to 12,car,good
739,0,19 to 28,female,1,rent,moderate,250 to 1554,12 to 24,business,bad
740,1,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
741,1,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
742,2,28 to 38,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
743,1,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,furniture/equipment,good
744,4,19 to 28,male,3,own,no account,3368 to 18424,12 to 24,furniture/equipment,good
745,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,business,good
746,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,good
747,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,car,bad
748,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,car,good
749,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
750,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
751,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,car,bad
752,2,19 to 28,female,1,rent,moderate,250 to 1554,4 to 12,business,good
753,4,19 to 28,female,2,own,little,250 to 1554,12 to 24,radio/TV,good
754,3,28 to 38,male,2,free,rich,250 to 1554,4 to 12,repairs,bad
755,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,car,bad
756,4,38 to 75,male,0,own,little,250 to 1554,4 to 12,car,good
757,4,28 to 38,male,2,free,no account,250 to 1554,4 to 12,radio/TV,bad
758,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
759,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,bad
760,4,38 to 75,female,2,own,no account,250 to 1554,4 to 12,car,good
761,4,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
762,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
763,4,19 to 28,male,3,free,no account,3368 to 18424,4 to 12,car,bad
764,4,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
765,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
766,2,19 to 28,male,1,own,little,250 to 1554,12 to 24,furniture/equipment,bad
767,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,car,good
768,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
769,4,38 to 75,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
770,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,car,good
771,4,19 to 28,female,3,own,little,1554 to 3368,12 to 24,education,bad
772,4,19 to 28,male,3,own,little,250 to 1554,4 to 12,car,good
773,4,28 to 38,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
774,4,38 to 75,male,0,free,quite rich,250 to 1554,4 to 12,car,good
775,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,car,bad
776,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,car,good
777,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
778,4,28 to 38,male,3,own,rich,250 to 1554,12 to 24,car,good
779,2,38 to 75,female,2,own,little,250 to 1554,4 to 12,repairs,good
780,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,bad
781,4,38 to 75,male,2,own,rich,250 to 1554,4 to 12,car,good
782,0,19 to 28,male,1,own,little,250 to 1554,4 to 12,education,good
783,2,19 to 28,female,1,own,moderate,250 to 1554,4 to 12,car,bad
784,2,38 to 75,male,3,own,no account,1554 to 3368,4 to 12,car,good
785,2,19 to 28,male,1,own,rich,250 to 1554,4 to 12,business,good
786,2,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
787,4,28 to 38,male,2,own,no account,250 to 1554,12 to 24,car,good
788,3,28 to 38,male,2,free,little,250 to 1554,12 to 24,education,bad
789,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,education,bad
790,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,business,bad
791,2,28 to 38,male,3,own,no account,1554 to 3368,4 to 12,car,good
792,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
793,2,28 to 38,male,2,free,little,250 to 1554,4 to 12,furniture/equipment,good
794,2,19 to 28,male,2,rent,quite rich,250 to 1554,4 to 12,furniture/equipment,good
795,2,19 to 28,female,2,rent,moderate,250 to 1554,4 to 12,furniture/equipment,good
796,2,28 to 38,male,2,free,no account,1554 to 3368,4 to 12,car,bad
797,4,19 to 28,female,1,rent,little,250 to 1554,4 to 12,furniture/equipment,good
798,3,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
799,2,19 to 28,male,0,own,no account,250 to 1554,4 to 12,car,good
800,4,28 to 38,male,2,free,little,250 to 1554,4 to 12,education,good
801,4,28 to 38,female,1,rent,little,250 to 1554,4 to 12,radio/TV,good
802,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
803,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
804,2,19 to 28,female,0,rent,no account,1554 to 3368,4 to 12,car,good
805,2,19 to 28,male,2,own,little,1554 to 3368,12 to 24,car,bad
806,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
807,4,38 to 75,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
808,1,28 to 38,male,3,free,little,1554 to 3368,12 to 24,car,good
809,0,19 to 28,female,0,rent,little,250 to 1554,4 to 12,car,bad
810,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
811,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
812,4,19 to 28,male,2,own,little,1554 to 3368,12 to 24,car,bad
813,2,28 to 38,male,2,own,little,250 to 1554,12 to 24,domestic appliances,bad
814,2,28 to 38,male,2,free,little,250 to 1554,12 to 24,car,bad
815,3,28 to 38,female,2,rent,little,1554 to 3368,12 to 24,car,good
816,2,38 to 75,male,2,own,quite rich,250 to 1554,4 to 12,domestic appliances,good
817,4,19 to 28,female,2,rent,little,250 to 1554,4 to 12,radio/TV,good
818,2,28 to 38,male,3,own,little,3368 to 18424,12 to 24,vacation/others,good
819,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
820,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
821,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
822,2,28 to 38,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,bad
823,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
824,4,19 to 28,male,3,own,little,250 to 1554,4 to 12,furniture/equipment,good
825,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
826,4,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,bad
827,0,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,bad
828,2,28 to 38,male,2,free,no account,1554 to 3368,12 to 24,car,bad
829,3,28 to 38,male,2,free,no account,1554 to 3368,12 to 24,business,good
830,3,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,business,good
831,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,car,bad
832,0,19 to 28,male,2,rent,little,1554 to 3368,12 to 24,business,bad
833,2,28 to 38,female,2,own,no account,250 to 1554,4 to 12,radio/TV,good
834,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,bad
835,0,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,bad
836,2,19 to 28,female,2,own,no account,250 to 1554,4 to 12,radio/TV,good
837,2,19 to 28,female,1,rent,little,250 to 1554,4 to 12,furniture/equipment,good
838,4,38 to 75,male,2,own,little,250 to 1554,4 to 12,car,good
839,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
840,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,bad
841,3,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
842,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,repairs,bad
843,1,28 to 38,male,2,own,little,250 to 1554,4 to 12,business,good
844,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
845,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
846,2,38 to 75,male,2,rent,no account,1554 to 3368,4 to 12,car,bad
847,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
848,2,38 to 75,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
849,2,38 to 75,male,1,own,little,250 to 1554,4 to 12,radio/TV,bad
850,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,bad
851,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
852,4,19 to 28,male,2,free,little,250 to 1554,4 to 12,radio/TV,good
853,1,19 to 28,male,1,free,little,250 to 1554,4 to 12,car,bad
854,3,28 to 38,male,2,own,little,1554 to 3368,12 to 24,car,good
855,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
856,2,28 to 38,female,2,own,no account,250 to 1554,4 to 12,education,good
857,4,19 to 28,male,2,free,little,250 to 1554,4 to 12,furniture/equipment,good
858,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,bad
859,2,19 to 28,male,2,rent,moderate,250 to 1554,4 to 12,car,good
860,4,19 to 28,male,2,own,rich,250 to 1554,4 to 12,car,good
861,3,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,bad
862,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,bad
863,4,19 to 28,male,1,own,rich,250 to 1554,12 to 24,furniture/equipment,good
864,2,19 to 28,male,1,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
865,2,19 to 28,female,2,rent,quite rich,250 to 1554,4 to 12,furniture/equipment,good
866,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
867,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
868,2,19 to 28,male,2,own,no account,1554 to 3368,12 to 24,business,good
869,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
870,3,28 to 38,female,2,own,quite rich,1554 to 3368,12 to 24,furniture/equipment,good
871,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,good
872,4,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,business,good
873,2,19 to 28,female,2,own,no account,250 to 1554,4 to 12,domestic appliances,good
874,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
875,4,28 to 38,female,2,own,rich,250 to 1554,4 to 12,car,good
876,1,19 to 28,male,3,free,little,250 to 1554,4 to 12,radio/TV,good
877,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
878,2,19 to 28,male,3,free,little,250 to 1554,4 to 12,car,bad
879,4,19 to 28,male,2,own,no account,1554 to 3368,12 to 24,radio/TV,good
880,2,28 to 38,male,3,own,little,1554 to 3368,4 to 12,car,good
881,2,28 to 38,male,2,free,no account,1554 to 3368,4 to 12,car,good
882,4,19 to 28,male,2,own,no account,250 to 1554,12 to 24,car,good
883,4,38 to 75,female,0,own,little,250 to 1554,4 to 12,radio/TV,good
884,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
885,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,education,bad
886,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,business,good
887,2,19 to 28,male,2,own,little,3368 to 18424,12 to 24,business,bad
888,4,19 to 28,male,3,own,little,1554 to 3368,12 to 24,car,good
889,1,28 to 38,male,2,rent,no account,1554 to 3368,12 to 24,car,good
890,4,28 to 38,male,3,own,little,250 to 1554,12 to 24,business,good
891,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
892,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
893,4,19 to 28,male,2,own,little,250 to 1554,12 to 24,car,good
894,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
895,3,19 to 28,male,3,own,no account,1554 to 3368,12 to 24,car,good
896,2,19 to 28,female,3,rent,little,250 to 1554,4 to 12,radio/TV,good
897,4,19 to 28,female,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
898,2,19 to 28,female,1,rent,no account,250 to 1554,4 to 12,furniture/equipment,good
899,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
900,4,28 to 38,male,2,rent,little,250 to 1554,4 to 12,car,bad
901,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
902,4,28 to 38,male,2,free,no account,1554 to 3368,12 to 24,car,good
903,2,28 to 38,male,2,rent,no account,250 to 1554,4 to 12,radio/TV,good
904,2,19 to 28,male,3,own,little,250 to 1554,4 to 12,radio/TV,good
905,2,19 to 28,male,3,rent,little,250 to 1554,4 to 12,radio/TV,good
906,2,19 to 28,male,1,own,no account,250 to 1554,4 to 12,car,good
907,2,19 to 28,male,2,own,no account,250 to 1554,12 to 24,education,good
908,3,28 to 38,female,1,own,little,250 to 1554,4 to 12,car,good
909,2,19 to 28,female,1,own,no account,250 to 1554,4 to 12,car,good
910,3,19 to 28,female,2,own,little,250 to 1554,12 to 24,radio/TV,good
911,4,19 to 28,female,1,own,little,250 to 1554,4 to 12,furniture/equipment,bad
912,2,19 to 28,female,2,own,no account,250 to 1554,12 to 24,radio/TV,good
913,2,19 to 28,male,2,own,rich,250 to 1554,4 to 12,business,good
914,1,19 to 28,male,2,rent,little,250 to 1554,4 to 12,business,bad
915,0,19 to 28,female,3,own,little,3368 to 18424,12 to 24,vacation/others,bad
916,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
917,2,38 to 75,male,3,own,little,3368 to 18424,4 to 12,car,bad
918,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,furniture/equipment,bad
919,2,28 to 38,male,3,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
920,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
921,3,19 to 28,male,3,own,quite rich,3368 to 18424,12 to 24,radio/TV,good
922,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,radio/TV,bad
923,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,car,good
924,1,28 to 38,male,2,own,little,1554 to 3368,4 to 12,furniture/equipment,bad
925,1,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,bad
926,4,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
927,2,28 to 38,male,2,free,little,1554 to 3368,12 to 24,car,bad
928,2,38 to 75,male,2,own,no account,250 to 1554,12 to 24,radio/TV,good
929,3,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
930,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
931,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,bad
932,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
933,4,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,good
934,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
935,3,19 to 28,male,3,own,moderate,250 to 1554,12 to 24,radio/TV,bad
936,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,bad
937,2,19 to 28,male,3,rent,little,250 to 1554,4 to 12,radio/TV,good
938,2,28 to 38,male,2,free,little,250 to 1554,24 to 72,education,bad
939,4,28 to 38,male,3,own,no account,1554 to 3368,4 to 12,car,good
940,2,28 to 38,male,3,own,no account,250 to 1554,4 to 12,car,good
941,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
942,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
943,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
944,2,28 to 38,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
945,0,19 to 28,female,2,own,quite rich,1554 to 3368,12 to 24,car,good
946,1,19 to 28,male,2,free,quite rich,250 to 1554,4 to 12,furniture/equipment,bad
947,2,28 to 38,male,3,own,no account,250 to 1554,4 to 12,car,good
948,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,bad
949,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,bad
950,4,28 to 38,male,0,own,little,250 to 1554,4 to 12,business,good
951,3,19 to 28,male,2,own,little,250 to 1554,12 to 24,business,bad
952,2,19 to 28,female,2,rent,quite rich,250 to 1554,4 to 12,car,bad
953,2,19 to 28,female,3,own,little,1554 to 3368,12 to 24,furniture/equipment,bad
954,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
955,4,38 to 75,female,3,rent,rich,250 to 1554,4 to 12,radio/TV,good
956,4,28 to 38,male,1,own,no account,250 to 1554,12 to 24,radio/TV,good
957,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
958,2,28 to 38,male,1,own,little,250 to 1554,12 to 24,car,bad
959,2,19 to 28,male,2,free,moderate,250 to 1554,4 to 12,furniture/equipment,good
960,4,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,good
961,3,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,good
962,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,car,good
963,2,19 to 28,male,2,own,quite rich,250 to 1554,4 to 12,radio/TV,bad
964,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,repairs,good
965,2,19 to 28,female,2,own,no account,250 to 1554,12 to 24,radio/TV,good
966,4,19 to 28,male,1,own,quite rich,250 to 1554,12 to 24,radio/TV,bad
967,2,28 to 38,female,3,rent,little,250 to 1554,4 to 12,radio/TV,good
968,2,19 to 28,male,2,rent,no account,1554 to 3368,12 to 24,radio/TV,good
969,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
970,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,repairs,good
971,2,28 to 38,male,1,own,little,1554 to 3368,4 to 12,car,good
972,1,19 to 28,female,0,rent,little,250 to 1554,4 to 12,car,bad
973,2,19 to 28,male,2,rent,little,1554 to 3368,24 to 72,business,bad
974,4,19 to 28,female,2,own,little,250 to 1554,12 to 24,radio/TV,good
975,2,38 to 75,female,1,own,quite rich,250 to 1554,4 to 12,radio/TV,good
976,2,38 to 75,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
977,3,28 to 38,male,2,own,no account,250 to 1554,4 to 12,business,good
978,3,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,bad
979,1,19 to 28,male,2,rent,moderate,250 to 1554,4 to 12,car,bad
980,4,28 to 38,male,2,own,little,1554 to 3368,12 to 24,furniture/equipment,bad
981,2,19 to 28,male,3,rent,little,250 to 1554,12 to 24,business,bad
982,2,19 to 28,female,3,own,moderate,250 to 1554,4 to 12,car,good
983,2,19 to 28,male,2,own,little,1554 to 3368,12 to 24,car,bad
984,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
985,4,19 to 28,female,2,rent,little,250 to 1554,4 to 12,furniture/equipment,good
986,0,19 to 28,male,2,own,little,250 to 1554,12 to 24,business,good
987,2,38 to 75,female,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
988,2,19 to 28,male,3,free,little,1554 to 3368,4 to 12,car,good
989,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
990,4,19 to 28,male,1,own,no account,250 to 1554,4 to 12,education,good
991,1,19 to 28,male,1,own,moderate,250 to 1554,4 to 12,radio/TV,good
992,2,19 to 28,male,1,rent,no account,250 to 1554,4 to 12,radio/TV,good
993,2,19 to 28,male,3,own,little,250 to 1554,12 to 24,furniture/equipment,good
994,2,28 to 38,male,2,own,no account,250 to 1554,4 to 12,car,good
995,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
996,2,28 to 38,male,3,own,little,250 to 1554,12 to 24,car,good
997,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
998,2,19 to 28,male,2,free,little,250 to 1554,12 to 24,radio/TV,bad
999,4,19 to 28,male,2,own,moderate,250 to 1554,12 to 24,car,good
